id,' Q1O_binarized',Q2A1_binarized,Q2A2_binarized,Q2A9_binarized,Q2A10_binarized,Q2A11_binarized,Q2A13_binarized,'Limited Liability Company',Corporation,'Limited Partnership','Limited Liability Partnership','Sole Proprietorship','Other (specify)',Partnership,TtlEmp,Q5B1,Q5B2,Q5C1a,Q5C1b,Q5C1c,Q5C1d,Q5C1e,Q5C2,Q5Ha,Q5Hb,Q5Hc,Q5Hd,Q5He,Q5Hf,Q5Hg,Q5Hh,Q5Hi,Q6A1_binarized,Q6A2_binarized,Q6A3_binarized,Q6A4_binarized,Q6A5_binarized,Q6A6_binarized,Q6A7_binarized,Q6A8_binarized,Q6A9_binarized,Q6A10_binarized,Q6A11_binarized,Q6A12_binarized,Q6A13_binarized,Q6A14_binarized,missing,Q8A1_binarized,Q8A2_binarized,Q8A3_binarized,Q8B1_binarized,Q8B2_binarized,Q8B3_binarized,FRAUDULENT
59e2518a326d2acc9049b767,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.000025,0.000038,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e2519a326d2acc9049bf86,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.000076,0.000076,0.00006,0,0,0,1,0,0.02,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59e25159326d2acc90499e1d,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.00089,0.00061,0,0,1,0,0,0,0.41,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
59e25157326d2acc90499d09,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000229,0.000153,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
59e2515f326d2acc9049a0cc,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.000076,0.000076,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
59e25194326d2acc9049bc39,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000305,0.000153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e251b1326d2acc9049cb8f,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000305,0.00042,0.000358,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e251a4326d2acc9049c49b,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000381,0.000229,0,0,1,0,0,0,0.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
59e25192326d2acc9049bb87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000153,0.000114,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e2519b326d2acc9049bfaf,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000305,0.000305,0.000358,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59e2518a326d2acc9049b77c,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000432,0.000496,0,0,0,0,1,0,0.49,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
59e2518f326d2acc9049b9bb,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000407,0.000534,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59e25191326d2acc9049bb0a,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000915,0.00061,0.00006,0,0,0,1,0,0.14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e25154326d2acc90499b21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.052385,0.048564,0.061436,0,0,0,0,1,0.01,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
59e2517c326d2acc9049b02d,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.00033,0.000229,0,0,1,0,0,0,0.78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
59e25162326d2acc9049a26f,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000076,0.000114,0,0,0,0,1,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e25167326d2acc9049a50f,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000076,0.000114,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59e251a4326d2acc9049c4a0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.000483,0.000458,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59e251af326d2acc9049ca5a,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.000051,0.000076,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e25197326d2acc9049be13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000102,0.000114,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
59e2519f326d2acc9049c1cf,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000356,0.00042,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59e251a8326d2acc9049c662,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.00028,0.000229,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e25175326d2acc9049ac92,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.002593,0.000687,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59e25183326d2acc9049b3dd,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000203,0.000305,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
59e2515e326d2acc9049a0a1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000534,0.00061,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e251a0326d2acc9049c27e,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000381,0.000229,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59e2516f326d2acc9049a958,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000203,0.000191,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59e2516d326d2acc9049a871,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.00183,0.000496,0,0,0,0,1,0,0.44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59e25143326d2acc904992a2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.002948,0.002098,0,0,0,0,1,0,0.97,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59e25142326d2acc904991fb,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000102,0.000076,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e2515f326d2acc9049a127,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000229,0.000191,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59e25171326d2acc9049aa68,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.000076,0.000114,0,0,1,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59e25163326d2acc9049a2e7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.000991,0.000763,0,0,0,1,0,0,0.67,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
59e25166326d2acc9049a463,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000203,0.000267,0,0,0,0,0,1,0.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e25164326d2acc9049a3d3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000229,0.000343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59e2517e326d2acc9049b17f,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.001042,0.000534,0,0,0,0,1,0,0.58,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
59e2518f326d2acc9049b9f3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000407,0.000191,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e251a3326d2acc9049c416,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
59e2514b326d2acc904996df,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000025,0.000038,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e2518f326d2acc9049b9ad,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000076,0.000076,0,0,1,0,0,0,0.33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
59e25160326d2acc9049a144,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000178,0.000191,0.000179,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e2519c326d2acc9049c051,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.000076,0.000076,0,0,1,0,0,0,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
59e2514a326d2acc9049963b,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000254,0.000191,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59e25178326d2acc9049adec,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000407,0.000305,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e25194326d2acc9049bc3c,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.005007,0.002747,0,0,0,0,1,0,0.33,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
59e2516c326d2acc9049a7bd,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000254,0.000114,0.000209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
59e2519f326d2acc9049c1c1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000051,0.000076,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
59e251a9326d2acc9049c6da,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000102,0.000076,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59e2517c326d2acc9049b068,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000763,0.00042,0.000149,0,0,1,0,0,0.33,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
59e2514f326d2acc904998f3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000127,0.000191,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e2519c326d2acc9049c033,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.000051,0.000038,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e25169326d2acc9049a615,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000178,0.000114,0.000089,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e25163326d2acc9049a34f,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000051,0.000076,0,0,0,0,1,0,0.82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e2513f326d2acc9049907e,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.000076,0.000076,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59e25184326d2acc9049b48a,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.006888,0.002976,0,0,0,0,0,1,0.77,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
59e25198326d2acc9049be5e,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000102,0.000153,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e251aa326d2acc9049c767,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.000025,0.000038,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e251b1326d2acc9049cb26,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000076,0.000114,0.000089,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e251b0326d2acc9049caa6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000025,0.000038,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e2515f326d2acc9049a130,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000127,0.000153,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
59e251a4326d2acc9049c42e,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
59e25168326d2acc9049a594,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.006888,0.004502,0,0,0,0,1,0,0.56,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
59e25189326d2acc9049b6a1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000381,0.000343,0.000089,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e25143326d2acc90499283,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000102,0.000114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e25186326d2acc9049b539,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000559,0.000496,0,0,0,1,0,0,0.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59e251a0326d2acc9049c24b,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.004601,0.002442,0,0,1,0,0,0,0.14,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
59e25185326d2acc9049b50e,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000508,0.000191,0.00003,0,1,0,0,0,0.13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
59e25194326d2acc9049bc69,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000178,0.000153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e251ad326d2acc9049c930,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.001855,0.000343,0,0,0,0,0,1,0.99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
59e25194326d2acc9049bc4e,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.000025,0.000038,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
59e25183326d2acc9049b3a5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000203,0.000153,0.000119,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59e25154326d2acc90499b14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.000203,0.000229,0,0,0,0,0,1,0.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e25192326d2acc9049bb23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.00033,0.00042,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e25172326d2acc9049aafc,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.000585,0.000649,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
59e25188326d2acc9049b621,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.00028,0.000343,0.000238,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59e25155326d2acc90499c08,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.000153,0.000038,0.00003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
